,,,,,Robert Downey Jr.,The 6th Day 
,,,,,Robert Duvall,Bruce Almighty 
,,,,,Morgan Freeman,The Expendables 
,,,,,Jason Statham,Mission: Impossible 
,,,,,Tom Cruise,The Hunger Games 
,,,,,Jennifer Lawrence,The Hangover Part II 
,,,,,Bradley Cooper,Batman Returns 
,,,,,Michael Gough,Over the Hedge 
,,,,,Bruce Willis,Lilo & Stitch 
,,,,,Tia Carrere,Charlotte's Web 
,,,,,Steve Buscemi,Deep Impact 
,,,,,Morgan Freeman,RED 2 
,,,,,Bruce Willis,The Longest Yard 
,,,,,Adam Sandler,Alvin and the Chipmunks: Chipwrecked 
,,,,,Amy Poehler,Grown Ups 2 
,,,,,Steve Buscemi,Get Smart 
,,,,,Bill Murray,Something's Gotta Give 
,,,,,Keanu Reeves,Shutter Island 
,,,,,Leonardo DiCaprio,Four Christmases 
,,,,,Jon Favreau,Robots 
,,,,,Jim Broadbent,Face/Off 
,,,,,Nicolas Cage,Bedtime Stories 
,,,,,Adam Sandler,Road to Perdition 
,,,,,Tom Hanks,Just Go with It 
,,,,,Adam Sandler,Daredevil             
,,,,,Elden Henson,Con Air 
,,,,,Steve Buscemi,Eagle Eye 
,,,,,Rosario Dawson,Cold Mountain 
,,,,,Philip Seymour Hoffman,The Book of Eli 
,,,,,Denzel Washington,Flubber 
,,,,,Robin Williams,The Haunting 
,,,,,Liam Neeson,Space Jam 
,,,,,Bill Murray,The Pink Panther 
,,,,,Roger Rees,The Day the Earth Stood Still 
,,,,,Keanu Reeves,Conspiracy Theory 
,,,,,Julia Roberts,Fury 
,,,,,Brad Pitt,Six Days Seven Nights 
,,,,,Harrison Ford,Yogi Bear 
,,,,,Justin Timberlake,Spirit: Stallion of the Cimarron 
,,,,,Matt Damon,Zookeeper 
,,,,,Rosario Dawson,Lost in Space 
,,,,,Gary Oldman,The Manchurian Candidate 
,,,,,Denzel Washington,Déjà Vu 
,,,,,Vanessa Redgrave,Hotel Transylvania 2 
,,,,,Steve Buscemi,Bewitched             
,,,,,Elizabeth Montgomery,Fantasia 2000 
,,,,,Quincy Jones,The Time Machine 
,,,,,Mark Addy,Mighty Joe Young 
,,,,,Charlize Theron,Swordfish 
,,,,,Hugh Jackman,The Legend of Zorro 
,,,,,Michael Emerson,What Dreams May Come 
,,,,,Robin Williams,Little Nicky 
,,,,,Adam Sandler,The Brothers Grimm 
,,,,,Matt Damon,Mars Attacks! 
,,,,,Natalie Portman,Evolution 
,,,,,Nissim Renard,The Edge 
,,,,,Anthony Hopkins,Surrogates 
,,,,,Bruce Willis,Thirteen Days 
,,,,,Bruce Greenwood,Daylight 
,,,,,Sylvester Stallone,Walking with Dinosaurs 3D 
,,,,,Charlie Rowe,Battlefield Earth 
,,,,,Richard Tyson,Looney Tunes: Back in Action 
,,,,,Brendan Fraser,Nine 
,,,,,Fergie,Timeline 
,,,,,Paul Walker,The Postman 
,,,,,Olivia Williams,Babe: Pig in the City 
,,,,,Adam Goldberg,The Last Witch Hunter 
,,,,,Vin Diesel,Red Planet 
,,,,,Bob Neill,Arthur and the Invisibles 
,,,,,Mia Farrow,Oceans 
,,,,,Pedro Armendáriz Jr.,A Sound of Thunder 
,,,,,David Oyelowo,Pompeii 
,,,,,Sasha Roiz,Top Cat Begins 
,,,,,Sariann Monaco,A Beautiful Mind 
,,,,,Adam Goldberg,The Lion King 
,,,,,Matthew Broderick,Journey 2: The Mysterious Island 
,,,,,Josh Hutcherson,Cloudy with a Chance of Meatballs 2 
,,,,,Will Forte,Red Dragon 
,,,,,Philip Seymour Hoffman,Hidalgo 
,,,,,J.K. Simmons,Jack and Jill 
,,,,,Al Pacino,2 Fast 2 Furious 
,,,,,Paul Walker,The Little Prince 
,,,,,Jeff Bridges,The Invasion 
,,,,,Roger Rees,The Adventures of Rocky & Bullwinkle 
,,,,,Robert De Niro,The Secret Life of Pets 
,,,,,Steve Coogan,The League of Extraordinary Gentlemen 
,,,,,Jason Flemyng,Despicable Me 2 
,,,,,Steve Carell,Independence Day 
,,,,,Will Smith,The Lost World: Jurassic Park 
,,,,,Ariana Richards,Madagascar 
,,,,,Jada Pinkett Smith,Children of Men 
,,,,,Charlie Hunnam,X-Men 
,,,,,Hugh Jackman,Wanted 
,,,,,Angelina Jolie Pitt,The Rock 
,,,,,Nicolas Cage,Ice Age: The Meltdown 
,,,,,Denis Leary,50 First Dates 
,,,,,Adam Sandler,Hairspray 
,,,,,Jerry Stiller,Exorcist: The Beginning 
,,,,,James D'Arcy,Inspector Gadget 
,,,,,Matthew Broderick,Now You See Me 
,,,,,Morgan Freeman,Grown Ups 
,,,,,Steve Buscemi,The Terminal 
,,,,,Tom Hanks,Constantine             
,,,,,Harold Perrineau,Hotel for Dogs 
,,,,,Don Cheadle,Vertical Limit 
,,,,,Nicholas Lea,Charlie Wilson's War 
,,,,,Philip Seymour Hoffman,Shark Tale 
,,,,,Robert De Niro,Dreamgirls 
,,,,,Loretta Devine,Life             
,,,,,Adam Arkin,Be Cool 
,,,,,Dwayne Johnson,Munich 
,,,,,Ayelet Zurer,Tears of the Sun 
,,,,,Bruce Willis,Killers 
,,,,,Tom Selleck,The Man from U.N.C.L.E. 
,,,,,Henry Cavill,Spanglish 
,,,,,Adam Sandler,Monster House 
,,,,,Steve Buscemi,Bandits 
,,,,,Bruce Willis,First Knight 
,,,,,Julia Ormond,Anna and the King 
,,,,,Bai Ling,Immortals 
,,,,,Henry Cavill,Hostage 
,,,,,Jimmy Bennett,Titan A.E. 
,,,,,Matt Damon,Hollywood Homicide 
,,,,,Harrison Ford,Soldier 
,,,,,Connie Nielsen,Carriers 
,,,,,Christopher Meloni,Monkeybone 
,,,,,Brendan Fraser,Flight of the Phoenix 
,,,,,Dennis Quaid,Unbreakable 
,,,,,Robin Wright,Minions 
,,,,,Steve Carell,Sucker Punch 
,,,,,Jon Hamm,Snake Eyes 
,,,,,Nicolas Cage,Sphere 
,,,,,Peter Coyote,The Angry Birds Movie 
,,,,,Peter Dinklage,Fool's Gold 
,,,,,Matthew McConaughey,Funny People 
,,,,,Adam Sandler,The Kingdom 
,,,,,Jennifer Garner,Talladega Nights: The Ballad of Ricky Bobby 
,,,,,Will Ferrell,Dr. Dolittle 2 
,,,,,Raven-Symoné,Braveheart 
,,,,,Mhairi Calvey,Jarhead 
,,,,,Jake Gyllenhaal,The Simpsons Movie 
,,,,,Albert Brooks,The Majestic 
